Date,predicted use [kW]
2014-12-01,30.43457311805807
2014-12-02,31.65560549745956
2014-12-03,18.30638051877591
2014-12-04,31.43589939137979
2014-12-05,23.818158134075844
2014-12-06,21.346389085016227
2014-12-07,22.959651383923187
2014-12-08,24.902481542725013
2014-12-09,20.058072495685906
2014-12-10,18.536160707478075
2014-12-11,19.50709979602769
2014-12-12,21.95908841550201
2014-12-13,25.625546187642385
2014-12-14,24.562401856168293
2014-12-15,27.906888892434893
2014-12-16,17.04274926028637
2014-12-17,23.64611421465085
2014-12-18,26.085201368430887
2014-12-19,25.600494984846705
2014-12-20,25.383613335300367
2014-12-21,15.022009798846966
2014-12-22,13.784884886416705
2014-12-23,14.203929901042272
2014-12-24,16.896650345170315
2014-12-25,30.401744508140183
2014-12-26,34.00289193584754
2014-12-27,26.726799475026667
2014-12-28,27.750191228322905
2014-12-29,30.477620691321505
2014-12-30,29.75450606501954
2014-12-31,25.711734118934544
